PlayerName,PlayerCode,TotalRaidAttacks,TitanNumber,TitanName,TitanDamage,ArmorHead,ArmorTorso,ArmorLeftArm,ArmorRightArm,ArmorLeftHand,ArmorRightHand,ArmorLeftLeg,ArmorRightLeg,BodyHead,BodyTorso,BodyLeftArm,BodyRightArm,BodyLeftHand,BodyRightHand,BodyLeftLeg,BodyRightLeg,SkeletonHead,SkeletonTorso,SkeletonLeftArm,SkeletonRightArm,SkeletonLeftHand,SkeletonRightHand,SkeletonLeftLeg,SkeletonRightLeg
SlimShady,rmyygq8,27,0,Jukk the Overseer,3467708,0,0,0,0,0,0,0,0,1759619,879207,0,0,0,0,0,828880,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,27,1,Lojak the Fissure,6196319,0,1049802,0,0,0,0,0,655353,1589260,1581532,0,0,245916,0,935473,135252,493,0,3234,0,0,0,0,0
SlimShady,rmyygq8,27,2,Takedar the Reborn,6840822,0,0,0,0,0,0,192004,0,4113741,1913938,0,0,0,0,0,619495,0,0,0,0,0,0,0,1644
SlimShady,rmyygq8,27,3,Takedar the Reborn,5716595,0,0,0,0,0,0,0,0,1415977,3416481,0,0,0,0,883019,0,1118,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,0,Jukk the Overseer,7010489,1907045,1279954,0,0,0,0,0,0,2040946,1782542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,1,Lojak the Fissure,3699074,0,1530607,0,0,0,0,0,0,2168466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,2,Takedar the Reborn,7150314,1367436,1819362,0,0,0,0,0,0,2200728,1762788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoth Soggoth,7qg33km,24,3,Takedar the Reborn,3119853,1648752,1453441,0,0,0,0,0,0,17658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,0,Jukk the Overseer,3675844,1771636,774910,0,0,0,0,1117522,11775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,1,Lojak the Fissure,10397661,891873,802202,0,0,0,0,950946,1180283,0,3528903,0,0,840506,561705,0,1640495,153,0,45,0,0,229,0,316
Purky DeStRoYeR,d2e2mx,24,2,Takedar the Reborn,3473796,0,0,0,0,0,0,640434,0,1740332,835196,0,0,0,0,257832,0,0,0,0,0,0,0,0,0
Purky DeStRoYeR,d2e2mx,24,3,Takedar the Reborn,3370527,1750893,788900,0,0,0,810,0,829922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,22,0,Jukk the Overseer,3525855,0,0,0,0,0,0,0,0,812910,818602,0,0,0,0,0,1894342,0,0,0,0,0,0,0,0
Sherlock,mnegm22,22,1,Lojak the Fissure,5229182,879933,820514,0,0,0,0,375,1769913,0,782344,0,0,0,0,976100,0,0,0,0,0,0,0,0,0
Sherlock,mnegm22,22,2,Takedar the Reborn,7024584,840238,820324,0,0,939159,988736,0,1839309,0,824208,0,0,0,0,772579,0,0,0,29,0,0,0,0,0
Sherlock,mnegm22,22,3,Takedar the Reborn,3355514,0,0,0,0,0,0,0,0,797803,780525,0,0,0,0,886379,890804,0,0,0,0,0,0,0,0
Razgriz,36en7n2,17,0,Jukk the Overseer,4348503,2251881,2096622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,17,1,Lojak the Fissure,8372427,0,3140197,0,0,0,14999,0,0,3342232,510070,0,0,0,0,0,1364927,0,0,0,0,0,0,0,0
Razgriz,36en7n2,17,2,Takedar the Reborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razgriz,36en7n2,17,3,Takedar the Reborn,4885798,2179683,926393,0,0,0,194701,0,0,442,1005429,0,579148,0,0,0,0,0,0,0,0,0,0,0,0
Foo,ndm5rxm,21,0,Jukk the Overseer,5639318,1069293,840167,0,0,15841,789,504823,766828,24638,471817,0,0,0,0,1944784,0,0,334,0,0,0,0,0,0
Foo,ndm5rxm,21,1,Lojak the Fissure,3699321,0,0,0,0,0,737434,0,0,0,1556190,0,33238,0,0,1372456,0,0,0,0,0,0,0,0,0
Foo,ndm5rxm,21,2,Takedar the Reborn,4707529,394,0,275058,0,238884,0,968478,0,1711408,1399976,113327,0,0,0,0,0,0,0,0,0,0,0,0,0
Foo,ndm5rxm,21,3,Takedar the Reborn,3548958,1115940,844237,0,0,546500,1022,374867,559630,0,0,102497,0,0,0,4262,0,0,0,0,0,0,0,0,0
Raise,kb3n8r,24,0,Jukk the Overseer,2460856,0,578739,0,0,0,0,0,562426,1319690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raise,kb3n8r,24,1,Lojak the Fissure,6074426,0,1077622,188940,0,10789,0,80783,734327,839670,389337,0,1740982,20811,862562,126888,0,1085,0,625,0,0,0,0,0
Raise,kb3n8r,24,2,Takedar the Reborn,5914015,978442,505975,0,0,228659,50708,204059,0,0,868452,517269,943890,254421,570602,317747,471136,368,0,2097,0,0,0,147,36
Raise,kb3n8r,24,3,Takedar the Reborn,2982872,0,0,0,0,239398,31020,0,0,660212,825508,539722,0,0,0,77754,608978,0,0,0,0,0,0,0,276
Xeetron,nby33dk,20,0,Jukk the Overseer,3305799,0,0,0,0,0,4505,0,0,384504,2046361,0,0,0,0,0,870188,240,0,0,0,0,0,0,0
Xeetron,nby33dk,20,1,Lojak the Fissure,3317017,0,0,0,0,0,18582,717126,0,0,2532430,0,762,0,0,48056,0,32,0,0,0,0,0,0,27
Xeetron,nby33dk,20,2,Takedar the Reborn,6951097,882605,1955414,89106,994924,91997,118974,90396,3632,775352,1896955,0,0,0,0,0,51736,0,0,0,0,0,0,0,0
